episode,timestep,reward,coverage_pct,ep_steps
713,1151003,284.657,100.00,1042
714,1152723,5.995,99.77,1720
715,1153977,205.115,100.00,1254
716,1155681,5.915,99.77,1704
717,1156604,299.337,100.00,923
718,1158308,4.615,99.53,1704
719,1160044,-45.924,90.55,1736
720,1161473,153.015,100.00,1429
721,1162521,280.137,100.00,1048
722,1164209,-56.564,88.39,1688
723,1165341,257.156,100.00,1132
724,1167053,-272.245,49.77,1712
725,1168117,264.617,100.00,1064
726,1169861,6.115,99.77,1744
727,1170867,288.376,100.00,1006
728,1171950,262.436,100.00,1083
729,1173227,206.855,100.00,1277
730,1174593,167.975,100.00,1366
731,1176309,-3.123,98.14,1716
732,1177288,294.417,100.00,979
733,1178822,122.015,100.00,1534
734,1179652,336.898,100.00,830
735,1180997,174.694,100.00,1345
736,1182278,191.275,100.00,1281
737,1183315,274.557,100.00,1037
738,1184188,327.038,100.00,873
739,1185163,289.197,100.00,975
740,1186911,-30.265,93.36,1748
741,1187949,275.536,100.00,1038
742,1188760,348.178,100.00,811
743,1190062,189.753,100.00,1302
744,1191009,299.457,100.00,947
745,1191795,350.978,100.00,786
746,1193524,66.112,100.00,1729
747,1194785,200.275,100.00,1261
748,1195983,221.735,100.00,1198
749,1197727,6.114,99.77,1744
750,1199387,-16.405,95.66,1660
751,1200336,311.817,100.00,949
752,1201500,232.616,100.00,1164
753,1202749,201.515,100.00,1249
754,1203566,346.258,100.00,817
755,1204883,195.354,100.00,1317
756,1205803,322.398,100.00,920
757,1207519,5.975,99.77,1716
758,1208360,337.278,100.00,841
759,1209347,295.757,100.00,987
760,1210612,210.695,100.00,1265
761,1211491,323.818,100.00,879
762,1212455,307.018,100.00,964
763,1213349,332.018,100.00,894
764,1214254,315.498,100.00,905
765,1215191,319.558,100.00,937
766,1216024,341.138,100.00,833
767,1216860,333.678,100.00,836
768,1218384,130.415,100.00,1524
769,1219266,311.158,100.00,882
770,1220379,260.636,100.00,1113
771,1221510,237.976,100.00,1131
772,1222504,302.617,100.00,994
773,1223486,292.157,100.00,982
774,1224501,277.697,100.00,1015
775,1225312,337.778,100.00,811
776,1226258,298.477,100.00,946
777,1227099,342.478,100.00,841
778,1228151,271.056,100.00,1052
779,1229843,1.955,99.05,1692
780,1230952,258.016,100.00,1109
781,1232660,-85.064,83.37,1708
782,1233513,326.938,100.00,853
783,1234773,203.195,100.00,1260
784,1236481,3.335,99.30,1708
785,1237348,335.458,100.00,867
786,1238090,363.759,100.00,742
787,1239083,296.437,100.00,993
788,1240807,-21.285,94.90,1724
789,1242079,196.753,100.00,1272
790,1242972,323.238,100.00,893
791,1244680,5.936,99.77,1708
792,1245459,357.119,100.00,779
793,1246319,328.598,100.00,860
794,1247523,231.516,100.00,1204
795,1248359,340.178,100.00,836
796,1249454,270.296,100.00,1095
