episode,timestep,reward,coverage_pct,ep_steps
498,325150,217.833,100.00,511
499,325539,226.373,100.00,389
500,325885,229.383,100.00,346
501,326222,230.013,100.00,337
502,327002,148.016,99.49,780
503,327782,148.028,99.49,780
504,328144,228.263,100.00,362
505,328589,222.453,100.00,445
506,328926,230.013,100.00,337
507,329285,228.473,100.00,359
508,329650,228.053,100.00,365
509,330004,228.823,100.00,354
510,330359,228.753,100.00,355
511,330804,222.453,100.00,445
512,331194,226.303,100.00,390
513,331618,223.923,100.00,424
514,331954,230.083,100.00,336
515,332315,228.333,100.00,361
516,332661,229.383,100.00,346
517,333001,229.803,100.00,340
518,333405,225.323,100.00,404
519,333737,230.363,100.00,332
520,334343,211.183,100.00,606
521,334797,221.823,100.00,454
522,335300,218.393,100.00,503
523,336022,203.063,100.00,722
524,336335,231.693,100.00,313
525,336740,225.253,100.00,405
526,337153,224.693,100.00,413
527,337542,226.373,100.00,389
528,337940,225.743,100.00,398
529,338337,225.813,100.00,397
530,338755,224.343,100.00,418
531,339464,203.973,100.00,709
532,339896,223.363,100.00,432
533,340284,226.443,100.00,388
534,340876,212.163,100.00,592
535,341383,218.113,100.00,507
536,341723,229.803,100.00,340
537,342122,225.673,100.00,399
538,342487,228.053,100.00,365
539,342839,228.963,100.00,352
540,343525,205.582,100.00,686
541,343946,224.133,100.00,421
542,344323,227.213,100.00,377
543,344683,228.403,100.00,360
544,345014,230.433,100.00,331
545,345340,230.783,100.00,326
546,345687,229.313,100.00,347
547,346096,224.973,100.00,409
548,346402,232.183,100.00,306
549,346728,230.783,100.00,326
550,347126,225.743,100.00,398
551,347647,217.133,100.00,521
552,348034,226.513,100.00,387
553,348633,211.673,100.00,599
554,349413,146.997,98.97,780
555,349769,228.683,100.00,356
556,350166,225.813,100.00,397
557,350492,230.783,100.00,326
558,350995,218.392,100.00,503
559,351391,225.883,100.00,396
560,351757,227.983,100.00,366
561,352107,229.103,100.00,350
562,352429,231.063,100.00,322
563,352820,226.233,100.00,391
564,353204,226.723,100.00,384
565,353548,229.523,100.00,344
566,353908,228.403,100.00,360
567,354288,227.003,100.00,380
568,354672,226.723,100.00,384
569,355069,225.813,100.00,397
570,355390,231.133,100.00,321
571,355754,228.123,100.00,364
572,356144,226.303,100.00,390
573,356492,229.243,100.00,348
574,356842,229.103,100.00,350
575,357622,148.040,99.49,780
576,358030,225.043,100.00,408
577,358366,230.083,100.00,336
578,359146,148.037,99.49,780
579,359550,225.323,100.00,404
580,360330,148.031,99.49,780
581,360624,233.023,100.00,294
582,360971,229.313,100.00,347
583,361293,231.063,100.00,322
584,361608,231.553,100.00,315
585,362036,223.643,100.00,428
586,362469,223.293,100.00,433
587,362907,222.943,100.00,438
588,363274,227.913,100.00,367
589,363783,217.973,100.00,509
590,364262,220.073,100.00,479
591,364637,227.353,100.00,375
592,365030,226.093,100.00,393
593,365405,227.353,100.00,375
594,365814,224.973,100.00,409
595,366233,224.273,100.00,419
596,366609,227.283,100.00,376
597,366922,231.693,100.00,313
598,367289,227.913,100.00,367
599,367641,228.963,100.00,352
600,368022,226.933,100.00,381
601,368415,226.093,100.00,393
602,368700,233.653,100.00,285
603,369332,209.363,100.00,632
604,369709,227.213,100.00,377
605,370088,227.073,100.00,379
606,370494,225.183,100.00,406
607,370876,226.863,100.00,382
608,371304,223.643,100.00,428
609,371637,230.293,100.00,333
610,372014,227.213,100.00,377
611,372327,231.693,100.00,313
612,372732,225.253,100.00,405
613,373117,226.653,100.00,385
614,373482,228.053,100.00,365
615,373891,224.973,100.00,409
616,374272,226.933,100.00,381
617,374660,226.443,100.00,388
618,375009,229.173,100.00,349
619,375342,230.293,100.00,333
620,375797,221.753,100.00,455
621,376216,224.273,100.00,419
622,376653,223.013,100.00,437
623,376980,230.713,100.00,327
624,377284,232.323,100.00,304
625,377851,213.912,100.00,567
626,378205,228.823,100.00,354
627,378703,218.743,100.00,498
628,379071,227.843,100.00,368
629,379597,216.783,100.00,526
630,379980,226.793,100.00,383
631,380401,224.133,100.00,421
632,380753,228.963,100.00,352
633,381156,225.393,100.00,403
634,381536,227.003,100.00,380
635,381963,223.713,100.00,427
636,382282,231.273,100.00,319
637,382668,226.583,100.00,386
638,383079,224.833,100.00,411
639,383574,218.953,100.00,495
640,383886,231.763,100.00,312
641,384501,210.553,100.00,615
642,384892,226.233,100.00,391
643,385247,228.753,100.00,355
644,385657,224.903,100.00,410
645,385970,231.693,100.00,313
646,386418,222.243,100.00,448
647,386778,228.403,100.00,360
648,387118,229.803,100.00,340
649,387474,228.683,100.00,356
650,387832,228.543,100.00,358
651,388182,229.103,100.00,350
652,388551,227.773,100.00,369
653,388929,227.143,100.00,378
654,389313,226.723,100.00,384
655,389973,207.403,100.00,660
656,390333,228.403,100.00,360
657,390741,225.043,100.00,408
658,391065,230.923,100.00,324
659,391500,223.153,100.00,435
660,391865,228.053,100.00,365
661,392310,222.453,100.00,445
662,392665,228.753,100.00,355
663,392983,231.343,100.00,318
664,393317,230.223,100.00,334
665,393618,232.533,100.00,301
666,393962,229.523,100.00,344
667,394341,227.073,100.00,379
668,394707,227.983,100.00,366
669,395121,224.623,100.00,414
670,395501,227.003,100.00,380
671,395887,226.583,100.00,386
672,396277,226.303,100.00,390
673,396679,225.463,100.00,402
